Column1;Column2;Column3;Column4;;Nodes
4;61;2;1,29E+14;;141
61;4;3;1,29E+14;;142
61;20;8;1,29E+14;;143
61;2;2;1,29E+12;;144
35;65;1;1,29E+14;;145
65;35;2;1,29E+14;;146
56;1;2;1,29E+14;;147
1;56;2;1,29E+13;;148
4;66;2;1,29E+14;;149
66;4;2;1,29E+14;;150
21;7;5;1,29E+14;;152
7;20;4;1,29E+14;;153
35;69;1;1,29E+14;;154
35;70;1;1,29E+13;;155
39;69;2;1,29E+14;;156
69;39;2;1,29E+14;;157
69;35;2;1,29E+13;;158
1;71;1;1,29E+14;;159
71;1;8;1,29E+14;;160
7;28;2;1,29E+14;;161
28;7;1;1,29E+14;;162
4;72;4;1,29E+14;;163
1;74;1;1,29E+14;;164
74;1;1;1,29E+14;;165
41;75;1;1,29E+13;;166
68;64;1;1,29E+14;;167
76;7;1;1,29E+14;;168
7;76;1;1,29E+13;;169
7;19;5;1,29E+14;;170
32;23;1;1,29E+14;;171
23;32;1;1,29E+12;;172
23;20;1;1,29E+14;;173
61;77;4;1,29E+13;;174
1;78;1;1,29E+14;;175
78;1;1;1,29E+14;;176
60;41;1;1,29E+14;;177
41;60;1;1,29E+14;;178
78;60;1;1,29E+14;;179
60;78;1;1,29E+14;;180
57;4;2;1,29E+14;;181
23;69;1;1,29E+14;;182
69;23;1;1,29E+14;;183
64;68;1;1,29E+14;;184
35;79;1;1,29E+14;;185
79;35;1;1,29E+14;;186
41;4;1;1,29E+12;;187
4;41;1;1,29E+14;;188
1;68;2;1,29E+14;;189
68;1;2;1,29E+14;;190
69;28;3;1,29E+12;;191
28;69;3;1,29E+14;;192
64;80;1;1,29E+14;;193
17;81;1;1,29E+14;;194
81;17;1;1,29E+14;;195
69;62;1;1,29E+13;;196
62;69;1;1,29E+14;;197
41;83;1;1,29E+14;;198
41;104;1;1,29E+14;;199
83;41;1;1,29E+14;;200
41;86;1;1,29E+14;;201
86;41;1;1,29E+14;;202
104;41;1;1,29E+14;;203
4;87;1;1,29E+14;;204
87;4;1;1,29E+14;;205
81;69;2;1,29E+13;;206
69;81;2;1,29E+14;;207
41;89;1;1,29E+14;;208
89;41;1;1,29E+14;;209
60;87;1;1,29E+14;;210
87;60;1;1,29E+14;;211
7;89;2;1,29E+14;;212
89;7;2;1,29E+14;;213
64;94;1;1,29E+14;;214
41;70;1;1,29E+14;;215
94;64;1;1,29E+14;;216
70;95;1;1,29E+14;;217
95;70;3;1,29E+14;;218
70;41;1;1,29E+14;;219
70;35;1;1,29E+14;;220
39;17;3;1,29E+14;;221
17;39;1;1,29E+14;;222
70;96;1;1,29E+14;;223
96;70;3;1,29E+14;;224
15;97;2;1,29E+14;;225
97;15;2;1,29E+14;;227
69;99;4;1,29E+14;;228
99;69;1;1,29E+14;;229
88;7;3;1,29E+14;;230
1;81;1;1,29E+14;;231
70;15;1;1,30E+14;;232
15;70;1;1,30E+14;;233
81;1;1;1,30E+14;;234
1;101;1;1,30E+14;;235
62;54;2;1,30E+14;;236
54;62;2;1,30E+14;;237
101;1;1;1,30E+14;;238
100;101;1;1,30E+14;;239
101;103;1;1,30E+14;;240
80;25;2;1,30E+14;;241
100;60;2;1,30E+14;;242
39;4;1;1,30E+14;;243
4;39;1;1,30E+14;;244
41;105;1;1,30E+14;;245
72;4;4;1,30E+14;;246
96;106;1;1,30E+14;;247
106;96;1;1,30E+14;;248
81;107;2;1,30E+14;;249
107;81;3;1,30E+14;;250
60;108;1;1,30E+14;;251
108;60;1;1,30E+14;;252
97;68;1;1,30E+14;;253
68;97;1;1,30E+14;;254
96;107;2;1,30E+14;;255
7;109;1;1,30E+14;;256
109;7;1;1,30E+14;;257
41;110;1;1,30E+14;;258
41;68;1;1,30E+14;;259
68;41;1;1,30E+14;;260
107;96;2;1,30E+14;;261
23;7;5;1,30E+14;;262
7;111;1;1,30E+14;;263
111;7;1;1,30E+14;;264
64;112;2;1,30E+14;;265
112;64;2;1,30E+14;;266
112;77;1;1,30E+14;;267
112;115;2;1,30E+14;;268
112;60;4;1,30E+14;;269
60;112;4;1,30E+14;;270
109;39;1;1,30E+14;;271
39;109;1;1,30E+14;;272
6;114;2;1,30E+13;;273
114;39;1;1,30E+14;;274
6;32;1;1,30E+14;;275
39;114;1;1,30E+14;;276
47;7;1;1,30E+14;;277
1;119;1;1,30E+13;;278
119;1;10;1,30E+14;;279
100;1;3;1,30E+14;;280
100;7;4;1,30E+14;;281
7;100;2;1,30E+14;;282
7;47;1;1,30E+14;;283
7;122;1;1,30E+14;;284
122;7;1;1,30E+14;;285
23;108;1;1,30E+14;;286
108;23;1;1,30E+14;;287
108;104;1;1,30E+13;;288
104;108;1;1,30E+14;;289
60;56;2;1,30E+14;;290
115;77;3;1,30E+14;;291
119;127;10;1,30E+14;;292
119;25;1;1,30E+14;;293
1;2;8;1,30E+14;;294
1;76;2;1,30E+14;;295
76;1;2;1,30E+14;;296
1;23;6;1,30E+14;;297
54;129;1;1,30E+14;;298
116;7;2;1,30E+14;;299
7;116;2;1,30E+14;;300
54;13;2;1,30E+13;;301
13;54;2;1,30E+14;;302
77;39;3;1,30E+14;;303
77;15;1;1,30E+14;;304
77;6;3;1,30E+14;;305
77;1;3;1,30E+14;;306
77;23;1;1,30E+14;;307
77;28;3;1,30E+14;;308
77;115;3;1,30E+14;;309
77;112;1;1,30E+14;;310
77;131;1;1,30E+14;;311
77;61;3;1,30E+13;;312
129;54;1;1,30E+14;;313
54;2;2;1,30E+14;;314
2;54;2;1,30E+14;;315
127;119;10;1,30E+14;;316
127;132;1;1,30E+14;;317
132;127;2;1,30E+14;;318
7;133;1;1,30E+13;;319
133;7;1;1,30E+12;;320
105;41;1;1,30E+13;;321
41;64;1;1,30E+12;;322
64;41;1;1,30E+14;;323
57;110;1;1,30E+13;;324
113;125;2;1,30E+14;;325
125;113;2;1,30E+14;;326
54;7;6;1,30E+14;;327
7;54;5;1,30E+14;;328
113;23;2;1,30E+14;;329
113;135;2;1,30E+14;;330
135;113;2;1,30E+14;;331
78;36;2;1,30E+14;;332
36;78;2;1,30E+14;;333
2;132;2;1,30E+14;;334
132;2;2;1,30E+14;;335
96;15;4;1,30E+12;;336
110;57;1;1,30E+13;;337
110;41;1;1,30E+14;;338
132;28;1;1,30E+14;;339
28;132;1;1,30E+14;;340
111;1;1;1,30E+13;;341
132;134;1;1,30E+14;;342
134;132;1;1,30E+13;;343
132;100;1;1,30E+14;;344
100;132;1;1,30E+14;;345
41;137;1;1,30E+14;;346
15;96;3;1,30E+14;;347
137;41;1;1,30E+14;;348
7;137;1;1,30E+14;;349
137;7;1;1,30E+13;;350
1;138;1;1,30E+14;;351
138;1;1;1,30E+14;;352
132;138;1;1,30E+14;;353
138;132;1;1,30E+14;;354
100;111;1;1,30E+14;;355
111;100;1;1,30E+14;;356
100;64;1;1,30E+14;;357
64;100;1;1,30E+14;;358
41;140;1;1,30E+14;;359
140;41;1;1,30E+14;;360
7;60;5;1,30E+14;;361
60;100;2;1,30E+14;;362
7;141;2;1,30E+14;;363
141;134;5;1,30E+14;;364
134;141;5;1,30E+14;;365
141;7;3;1,30E+14;;366
132;21;5;1,30E+14;;367
139;132;1;1,30E+14;;368
132;139;1;1,30E+14;;369
78;132;3;1,30E+14;;370
2;3;8;1,30E+14;;371
132;142;1;1,30E+14;;372
142;132;1;1,30E+14;;373
110;142;1;1,30E+14;;374
1;110;1;1,30E+14;;375
110;1;1;1,30E+14;;376
142;110;1;1,30E+14;;377
110;76;2;1,30E+14;;378
2;142;1;1,30E+14;;379
142;2;1;1,30E+14;;380
110;143;1;1,30E+14;;381
143;110;1;1,30E+13;;382
75;132;1;1,30E+13;;383
110;134;1;1,30E+14;;384
134;110;1;1,30E+14;;385
132;144;1;1,30E+14;;386
144;132;1;1,30E+14;;387
1;145;1;1,30E+14;;388
145;1;1;1,30E+14;;389
146;2;1;1,30E+14;;390
60;147;1;1,30E+14;;391
41;148;1;1,30E+14;;392
148;41;1;1,30E+14;;393
23;113;4;1,30E+14;;394
21;132;2;1,30E+14;;395
93;81;2;1,30E+14;;396
78;149;1;1,30E+14;;397
149;150;1;1,30E+14;;398
150;149;1;1,30E+14;;399
132;75;1;1,30E+14;;400
2;110;1;1,30E+14;;401
110;2;1;1,30E+14;;402
110;144;1;1,30E+14;;403
144;110;1;1,30E+14;;404
41;147;1;1,30E+14;;405
147;41;1;1,30E+14;;406
132;152;1;1,30E+14;;407
104;153;2;1,30E+14;;408
81;93;3;1,30E+14;;409
152;154;1;1,30E+14;;410
154;152;2;1,30E+13;;411
152;75;1;1,30E+13;;412
110;155;1;1,30E+14;;413
132;156;4;1,30E+14;;414
156;132;4;1,30E+13;;415
132;113;3;1,30E+14;;416
113;132;3;1,30E+14;;417
155;110;1;1,30E+14;;418
41;157;1;1,30E+14;;419
157;41;1;1,30E+14;;420
149;132;1;1,30E+14;;421
132;149;1;1,30E+14;;422
113;158;1;1,30E+14;;423
158;113;2;1,30E+14;;424
56;7;3;1,30E+14;;425
7;56;3;1,30E+14;;426
41;132;1;1,30E+14;;427
153;104;2;1,30E+14;;428
132;41;1;1,30E+12;;429
114;1;2;1,30E+14;;430
1;114;2;1,30E+14;;431
1;111;2;1,30E+14;;432
60;160;1;1,30E+14;;433
160;60;1;1,30E+14;;434
114;149;1;1,30E+14;;435
149;114;1;1,30E+14;;436
114;146;1;1,30E+14;;437
78;146;1;1,30E+14;;438
146;78;1;1,30E+14;;439
122;78;1;1,30E+14;;440
132;78;3;1,30E+14;;441
146;114;1;1,30E+13;;442
114;21;1;1,30E+14;;443
7;161;3;1,30E+14;;444
161;7;3;1,30E+14;;445
21;114;1;1,30E+14;;446
132;104;1;1,30E+14;;447
104;132;1;1,30E+14;;448
132;157;2;1,30E+14;;449
157;132;2;1,30E+14;;450
1;7;9;1,30E+14;;451
7;1;7;1,30E+14;;452
132;162;1;1,30E+14;;453
162;132;1;1,30E+14;;454
41;163;1;1,30E+13;;455
163;41;1;1,30E+14;;456
41;162;1;1,30E+14;;457
162;41;1;1,30E+14;;458
2;149;1;1,30E+14;;459
149;2;1;1,30E+14;;460
75;41;2;1,30E+14;;461
143;81;1;1,30E+14;;462
143;80;1;1,30E+14;;463
80;143;1;1,30E+14;;464
1;165;1;1,30E+14;;465
165;1;1;1,30E+13;;466
152;166;1;1,30E+14;;467
166;152;1;1,30E+14;;468
2;166;1;1,30E+14;;469
166;2;1;1,30E+14;;470
110;104;1;1,30E+14;;471
41;167;1;1,30E+13;;472
167;41;1;1,30E+14;;473
41;168;1;1,30E+14;;474
168;41;1;1,30E+14;;475
132;169;2;1,30E+13;;476
169;132;2;1,30E+13;;477
81;149;1;1,30E+14;;478
142;170;1;1,30E+14;;479
170;142;1;1,30E+14;;480
45;171;2;1,30E+13;;481
171;45;2;1,30E+14;;482
64;166;1;1,30E+14;;483
166;64;1;1,30E+13;;484
113;166;1;1,30E+14;;485
166;113;1;1,30E+14;;486
60;104;2;1,30E+14;;487
60;172;1;1,30E+13;;488
64;3;1;1,30E+14;;489
113;173;2;1,30E+14;;490
173;113;1;1,30E+14;;491
41;174;1;1,30E+14;;492
172;60;1;1,30E+14;;493
166;156;2;1,30E+14;;494
156;166;2;1,30E+14;;495
175;7;2;1,30E+13;;496
45;176;3;1,30E+14;;497
161;144;1;1,30E+13;;498
144;161;1;1,30E+14;;499
7;166;1;1,30E+14;;500
161;177;1;1,30E+14;;501
177;161;1;1,30E+14;;502
149;129;1;1,30E+14;;503
129;149;1;1,30E+14;;504
144;178;1;1,30E+14;;505
178;144;1;1,30E+14;;506
75;1;2;1,30E+14;;507
75;179;1;1,30E+14;;508
179;75;1;1,30E+14;;509
75;62;2;1,30E+14;;510
62;75;2;1,30E+14;;511
143;173;1;1,30E+14;;512
149;173;1;1,30E+13;;513
173;149;1;1,30E+14;;514
173;143;1;1,30E+13;;515
166;180;1;1,30E+14;;516
180;166;1;1,30E+14;;517
174;41;1;1,30E+14;;518
149;81;3;1,30E+14;;519
144;143;1;1,30E+14;;520
143;144;1;1,30E+14;;521
60;148;2;1,30E+14;;522
148;60;2;1,30E+14;;523
2;156;1;1,30E+14;;524
156;2;1;1,30E+14;;525
1;19;6;1,30E+14;;526
132;181;1;1,30E+14;;527
181;132;1;1,30E+14;;528
135;181;1;1,30E+14;;529
181;135;1;1,30E+14;;530
132;159;1;1,30E+14;;531
159;132;1;1,30E+14;;532
135;143;1;1,30E+14;;533
143;135;1;1,30E+14;;534
148;182;1;1,30E+14;;535
182;148;1;1,30E+14;;536
144;181;1;1,30E+14;;537
181;144;1;1,30E+14;;538
181;183;2;1,30E+14;;539
183;181;2;1,30E+14;;540
143;183;1;1,30E+14;;541
183;143;1;1,30E+14;;542
142;64;1;1,30E+14;;543
64;142;1;1,30E+14;;544
184;7;2;1,30E+14;;545
7;184;2;1,30E+13;;546
80;7;1;1,30E+14;;547
7;78;1;1,30E+14;;548
78;7;1;1,30E+14;;549
147;179;1;1,30E+14;;550
179;147;1;1,30E+14;;551
7;185;1;1,30E+14;;552
185;7;1;1,30E+14;;553
176;45;1;1,30E+14;;554
183;186;1;1,30E+14;;555
186;183;1;1,30E+14;;556
135;187;1;1,30E+14;;557
187;135;1;1,30E+14;;558
33;7;2;1,30E+14;;559
7;33;2;1,30E+14;;560
78;144;3;1,30E+14;;561
7;188;1;1,30E+14;;562
188;7;1;1,30E+13;;563
104;189;2;1,30E+14;;564
189;104;2;1,30E+14;;565
104;190;1;1,30E+14;;566
190;104;1;1,30E+14;;567
104;110;2;1,30E+14;;569
104;191;1;1,30E+14;;570
191;104;1;1,30E+14;;571
104;113;1;1,30E+14;;572
113;104;1;1,30E+14;;573
6;173;3;1,30E+14;;574
110;7;1;1,30E+14;;575
104;171;1;1,30E+14;;576
171;104;1;1,30E+14;;577
143;192;1;1,30E+14;;578
192;143;1;1,30E+14;;579
60;159;2;1,30E+13;;580
159;60;2;1,30E+14;;581
2;1;8;1,30E+14;;582
57;25;2;1,30E+14;;583
60;178;2;1,30E+14;;584
7;35;2;1,30E+14;;585
60;193;1;1,30E+14;;586
193;60;1;1,30E+14;;587
60;194;1;1,30E+14;;588
194;178;1;1,30E+14;;589
194;60;1;1,30E+14;;590
178;194;1;1,30E+14;;591
7;195;1;1,30E+14;;592
195;7;1;1,30E+14;;593
29;60;2;1,30E+14;;594
62;196;1;1,30E+14;;595
196;62;1;1,30E+14;;596
60;29;2;1,30E+14;;597
60;191;4;1,30E+14;;598
7;156;1;1,30E+14;;599
156;7;1;1,30E+13;;600
60;198;1;1,30E+14;;601
60;199;1;1,30E+14;;602
199;60;1;1,30E+14;;603
7;200;2;1,30E+13;;604
200;7;2;1,30E+14;;605
132;198;2;1,30E+14;;606
198;132;1;1,30E+14;;607
35;7;2;1,30E+14;;608
194;201;1;1,30E+14;;609
201;194;1;1,30E+14;;610
100;202;1;1,30E+13;;611
202;100;1;1,30E+14;;612
142;203;1;1,30E+14;;613
203;142;1;1,30E+12;;614
7;204;1;1,30E+14;;615
142;60;1;1,30E+14;;616
7;110;3;1,30E+14;;617
60;205;1;1,30E+14;;618
206;201;1;1,30E+14;;619
201;206;1;1,30E+14;;620
207;7;2;1,30E+14;;621
200;62;1;1,30E+14;;622
60;75;3;1,30E+14;;623
75;60;3;1,30E+14;;624
75;7;3;1,30E+14;;625
60;209;3;1,30E+14;;626
7;210;1;1,30E+14;;627
210;7;1;1,30E+14;;628
142;143;2;1,30E+14;;629
143;142;2;1,30E+14;;630
60;142;1;1,30E+14;;631
7;206;2;1,30E+13;;632
149;209;1;1,30E+14;;633
120;7;5;1,30E+14;;634
7;207;3;1,30E+14;;635
7;96;1;1,30E+14;;636
104;179;-1;1,30E+14;;637
200;179;-1;1,30E+14;;638
149;179;-1;1,30E+14;;639
96;7;2;1,30E+14;;640
56;60;2;1,30E+14;;641
202;211;1;1,30E+14;;642
200;13;1;1,30E+14;;643
13;200;1;1,30E+14;;644
211;202;1;1,30E+14;;645
104;149;1;1,30E+14;;646
149;104;1;1,30E+14;;647
104;60;3;1,30E+14;;648
149;62;1;1,30E+14;;649
167;211;1;1,30E+14;;650
206;7;2;1,30E+14;;651
202;212;1;1,30E+14;;652
212;202;1;1,30E+14;;653
212;209;1;1,30E+14;;654
60;212;4;1,30E+14;;655
212;60;4;1,30E+14;;656
101;134;1;1,30E+14;;657
60;213;2;1,30E+14;;658
213;60;2;1,30E+14;;659
134;101;1;1,30E+14;;660
212;7;1;1,30E+14;;661
212;132;1;1,30E+14;;662
212;29;1;1,30E+14;;663
143;153;1;1,30E+14;;664
153;143;2;1,30E+14;;665
35;110;2;1,30E+14;;666
135;214;1;1,30E+14;;667
143;215;1;1,30E+14;;668
215;143;1;1,30E+14;;669
29;212;1;1,30E+14;;670
7;212;1;1,30E+14;;671
135;152;1;1,30E+14;;672
7;179;-1;1,30E+14;;673
39;149;4;1,30E+14;;674
149;39;4;1,30E+14;;675
214;216;1;1,30E+14;;676
216;214;1;1,30E+14;;677
174;112;1;1,30E+14;;678
153;202;1;1,30E+14;;679
29;120;2;1,30E+14;;680
60;217;2;1,30E+14;;681
60;218;1;1,30E+14;;682
218;60;1;1,30E+14;;683
209;212;1;1,30E+14;;684
217;60;2;1,30E+14;;685
217;3;5;1,30E+13;;686
135;179;-1;1,30E+14;;687
176;219;1;1,30E+14;;688
219;176;1;1,30E+14;;689
219;110;1;1,30E+14;;690
176;220;1;1,30E+14;;691
1;223;7;1,30E+14;;692
60;1;7;1,30E+14;;693
60;7;7;1,30E+14;;694
39;2;8;1,30E+14;;695
202;176;1;1,30E+14;;696
176;202;1;1,30E+14;;697
60;224;4;1,30E+11;;698
1;225;1;1,30E+13;;699
225;1;1;1,30E+14;;700
225;209;1;1,30E+14;;701
29;1;4;1,30E+14;;702
29;219;1;1,30E+14;;703
219;29;1;1,30E+14;;704
1;132;1;1,30E+14;;705
1;227;1;1,30E+14;;706
227;1;1;1,30E+14;;707
60;228;1;1,30E+14;;708
225;45;1;1,30E+14;;709
60;214;2;1,30E+14;;710
199;185;1;1,30E+14;;711
185;199;1;1,30E+14;;712
60;230;1;1,30E+14;;713
60;231;1;1,30E+14;;714
231;60;1;1,30E+14;;715
7;232;3;1,30E+14;;716
1;104;1;1,30E+14;;717
104;1;2;1,30E+14;;718
33;1;8;1,30E+13;;719
62;149;1;1,30E+14;;720
29;171;1;1,30E+14;;721
206;233;1;1,30E+13;;722
233;206;1;1,30E+14;;723
232;7;2;1,30E+14;;724
60;208;3;1,30E+14;;725
208;60;3;1,30E+14;;726
206;234;1;1,30E+14;;727
234;206;1;1,30E+14;;728
235;7;5;1,30E+14;;729
222;7;2;1,30E+14;;730
104;202;3;1,30E+14;;731
202;104;3;1,30E+14;;732
202;236;1;1,30E+14;;733
236;202;1;1,30E+14;;734
202;237;1;1,30E+12;;735
237;202;10;1,30E+14;;736
149;238;1;1,30E+14;;737
238;149;1;1,30E+14;;738
39;239;1;1,30E+14;;739
239;64;1;1,30E+14;;740
239;39;1;1,30E+14;;741
202;135;2;1,30E+14;;742
135;202;2;1,30E+14;;743
2;7;5;1,30E+14;;744
2;60;5;1,30E+14;;745
2;62;8;1,30E+14;;746
2;77;2;1,30E+14;;747
7;2;5;1,30E+14;;748
7;39;5;1,30E+14;;749
7;41;5;1,30E+14;;750
7;21;5;1,30E+14;;751
7;72;2;1,30E+14;;752
7;62;6;1,30E+14;;753
208;62;1;1,30E+14;;754
206;240;1;1,30E+14;;755
240;206;2;1,30E+14;;756
62;208;1;1,30E+14;;757
231;241;1;1,30E+14;;758
39;143;2;1,30E+14;;759
143;39;2;1,30E+14;;760
241;231;1;1,30E+14;;761
60;242;6;1,30E+14;;762
242;60;6;1,30E+14;;763
135;2;1;1,30E+14;;764
204;7;1;1,30E+14;;765
1;64;3;1,30E+14;;766
64;1;3;1,30E+14;;767
202;244;1;1,30E+14;;768
244;60;2;1,30E+14;;769
202;56;1;1,30E+14;;770
56;202;1;1,30E+14;;771
164;60;5;1,30E+14;;772
60;164;5;1,30E+14;;773
204;80;1;1,30E+14;;774
56;114;1;1,30E+14;;775
149;80;5;1,30E+14;;776
1;245;1;1,30E+14;;777
241;80;3;1,30E+14;;778
35;246;1;1,30E+14;;779
246;35;1;1,30E+14;;780
1;247;1;1,30E+14;;781
247;1;1;1,30E+14;;782
80;241;3;1,30E+14;;783
80;64;1;1,30E+14;;784
80;204;1;1,30E+14;;785
80;149;5;1,30E+14;;786
80;81;8;1,30E+14;;787
228;60;2;1,30E+14;;788
72;21;1;1,30E+14;;789
35;248;2;1,30E+14;;790
248;35;2;1,30E+14;;791
244;245;2;1,30E+14;;792
245;244;2;1,30E+14;;793
245;250;1;1,30E+14;;794
250;245;1;1,30E+14;;795
60;251;1;1,30E+14;;796
60;250;3;1,30E+14;;797
250;60;3;1,30E+14;;798
7;175;2;1,30E+14;;799
166;206;1;1,30E+14;;800
206;166;1;1,30E+14;;801
60;244;4;1,30E+13;;802
166;158;1;1,30E+14;;803
215;249;1;1,30E+14;;804
249;215;1;1,30E+14;;805
60;243;5;1,30E+14;;806
243;60;6;1,30E+14;;807
60;252;1;1,30E+14;;808
252;60;1;1,30E+14;;809
253;95;1;1,30E+14;;810
143;7;5;1,30E+14;;811
7;143;4;1,30E+14;;812
1;234;1;1,30E+13;;813
234;1;1;1,30E+14;;814
251;245;1;1,30E+14;;815
245;251;1;1,30E+14;;816
60;88;2;1,30E+14;;817
88;60;4;1,30E+14;;818
88;104;3;1,30E+14;;819
104;88;3;1,30E+14;;820
60;255;1;1,30E+14;;821
255;60;1;1,30E+14;;822
29;251;2;1,30E+13;;823
166;7;3;1,30E+14;;824
251;29;2;1,30E+14;;825
251;60;5;1,30E+13;;826
251;1;5;1,30E+14;;827
251;202;5;1,30E+14;;828
1;251;2;1,30E+14;;829
164;163;1;1,30E+14;;830
206;256;1;1,30E+14;;831
256;206;1;1,30E+14;;832
60;257;10;1,30E+14;;833
6;258;1;1,30E+14;;834
258;6;1;1,30E+14;;835
64;219;1;1,30E+14;;836
258;259;1;1,30E+14;;837
259;258;2;1,30E+14;;838
1;260;1;1,30E+14;;839
7;260;4;1,30E+14;;840
1;261;1;1,30E+14;;841
261;1;1;1,30E+14;;842
202;158;1;1,30E+13;;843
256;153;1;1,30E+14;;844
202;240;2;1,30E+14;;845
240;202;2;1,30E+14;;846
244;113;1;1,30E+13;;847
244;114;1;1,30E+14;;848
207;262;1;1,30E+14;;849
262;207;1;1,30E+14;;850
23;263;2;1,30E+14;;851
60;264;4;1,30E+13;;852
60;265;4;1,30E+14;;853
265;60;4;1,30E+14;;854
149;266;1;1,30E+14;;855
266;149;1;1,30E+14;;856
35;267;1;1,30E+14;;857
267;35;1;1,30E+14;;858
202;141;1;1,30E+14;;859
141;202;1;1,30E+14;;860
6;268;3;1,30E+14;;861
266;60;5;1,30E+14;;862
229;215;1;1,30E+14;;863
215;229;1;1,30E+14;;864
141;41;1;1,30E+12;;865
242;141;1;1,30E+14;;866
141;242;1;1,30E+14;;867
215;221;2;1,30E+14;;868
268;6;3;1,30E+14;;869
221;215;2;1,30E+14;;870
221;269;1;1,30E+14;;871
269;221;1;1,30E+13;;872
269;3;1;1,30E+14;;873
41;141;1;1,30E+13;;874
60;269;1;1,30E+13;;875
153;7;1;1,30E+14;;876
249;167;1;1,30E+14;;877
221;171;1;1,30E+14;;878
1;109;1;1,30E+14;;879
202;230;1;1,30E+14;;880
171;221;1;1,30E+14;;881
171;235;2;1,30E+14;;882
235;171;1;1,30E+14;;883
64;7;3;1,30E+14;;884
177;1;4;1,30E+14;;885
60;77;4;1,30E+14;;886
149;25;10;1,30E+13;;887
1;271;1;1,30E+14;;888
271;1;1;1,30E+14;;889
221;272;1;1,30E+14;;890
272;221;1;1,30E+14;;891
202;153;4;1,30E+14;;892
60;261;2;1,30E+14;;893
261;60;2;1,30E+14;;894
60;273;2;1,30E+14;;895
23;231;1;1,30E+14;;896
7;243;4;1,30E+12;;897
230;202;2;1,30E+14;;898
144;78;5;1,30E+14;;899
144;153;1;1,30E+14;;900
269;7;1;1,30E+14;;901
7;269;1;1,30E+14;;902
1;274;1;1,30E+14;;903
274;1;1;1,30E+14;;904
141;1;2;1,30E+14;;905
1;141;1;1,30E+14;;906
141;273;1;1,30E+14;;907
141;275;1;1,30E+14;;908
60;276;3;1,30E+14;;909
276;60;3;1,30E+14;;910
141;256;1;1,30E+14;;911
